,pKi
0,6.42
1,7.18
2,5.86
3,6.4
4,7.38
5,7.3
6,6.84
7,7.0
8,6.96
9,7.47
10,7.02
11,7.22
12,7.0
13,6.85
14,7.28
15,6.8
16,7.21
17,6.92
18,7.04
19,6.85
20,6.7
21,6.95
22,7.1
23,7.3
24,7.02
25,7.92
26,6.85
27,7.4
28,6.85
29,7.62
30,7.0
31,5.98
32,6.92
33,6.75
34,6.45
35,6.3
36,6.83
37,7.51
38,5.91
39,6.96
40,6.8
41,6.88
42,6.75
43,6.75
44,7.4
45,5.92
46,7.52
47,6.82
48,8.51
49,7.8
50,7.68
51,6.94
52,6.28
53,6.26
54,6.61
55,6.1
56,7.19
57,6.75
58,6.0
59,6.05
60,6.39
61,7.45
62,7.26
63,7.32
64,7.64
65,6.74
66,6.37
67,6.19
68,9.02
69,8.76
70,8.44
71,8.16
72,8.05
73,7.99
74,7.99
75,7.94
76,7.81
77,7.81
78,7.79
79,7.75
80,7.75
81,7.71
82,7.66
83,7.58
84,7.45
85,7.34
86,7.11
87,7.08
88,7.08
89,7.02
90,6.98
91,6.81
92,6.72
93,6.53
94,6.45
95,6.15
96,8.68
97,8.0
98,8.92
99,8.0
100,8.72
101,8.59
102,9.11
103,8.8
104,7.35
105,7.7
106,8.55
107,5.19
108,6.1
109,5.86
110,5.99
111,6.22
112,6.68
113,6.87
114,6.8
115,5.49
116,6.29
117,6.57
118,6.61
119,6.61
120,6.41
121,6.68
122,6.43
123,5.21
124,4.52
125,6.12
126,5.57
127,6.35
128,6.46
129,6.26
130,6.4
131,5.9
132,6.09
133,8.13
134,8.54
135,7.35
136,8.46
137,8.14
138,8.17
139,6.63
140,6.86
141,6.51
142,7.11
143,8.0
144,9.23
145,7.83
146,7.58
147,8.09
148,8.07
149,8.6
150,7.78
151,6.85
152,9.77
153,8.46
154,8.24
155,8.62
156,6.6
157,6.45
158,6.07
159,5.41
160,5.2
161,6.24
162,8.43
163,8.22
164,8.05
165,8.05
166,7.85
167,7.85
168,7.8
169,7.77
170,7.75
171,7.75
172,7.64
173,7.62
174,7.62
175,7.55
176,7.55
177,7.54
178,7.52
179,7.51
180,7.51
181,7.44
182,7.31
183,7.24
184,7.04
185,6.97
186,6.97
187,6.91
188,6.89
189,6.82
190,6.81
191,6.6
192,6.59
193,5.37
194,5.89
195,5.96
196,6.05
197,6.35
198,6.54
199,6.92
200,6.16
201,5.46
202,5.85
203,7.16
204,6.34
205,6.06
206,6.55
207,6.82
208,6.64
209,6.92
210,7.22
211,7.06
212,7.1
213,7.31
214,7.21
215,7.16
216,6.85
217,7.1
218,7.18
219,7.29
220,6.94
221,8.8
222,6.62
223,7.66
224,7.97
225,7.96
226,6.08
227,8.4
228,8.39
229,7.14
230,8.41
231,8.74
232,8.27
233,8.66
234,8.52
235,8.52
236,8.64
237,8.72
238,8.66
239,8.7
240,8.64
241,8.72
242,8.68
243,8.57
244,6.54
245,6.7
246,6.4
247,6.64
248,5.42
249,5.76
250,5.47
251,7.14
252,5.96
253,5.42
254,5.48
255,5.6
256,6.58
257,6.2
258,6.52
259,6.39
260,6.32
261,6.66
262,6.61
263,6.86
264,6.35
265,6.9
266,6.63
267,6.64
268,6.05
269,6.46
270,6.52
271,6.66
272,6.7
273,6.72
274,6.75
275,6.92
276,6.96
277,7.05
278,7.3
279,7.44
280,7.5
281,7.55
282,7.66
283,7.72
284,7.77
285,7.92
286,8.04
287,8.23
288,5.96
289,6.14
290,6.96
291,6.6
292,7.41
293,7.66
294,8.52
295,7.46
296,7.01
297,7.54
298,7.42
299,8.3
300,5.66
301,6.8
302,6.48
303,6.32
304,7.82
305,7.04
306,7.3
307,6.77
308,7.34
309,7.15
310,7.58
311,7.08
312,5.16
313,6.92
314,5.66
315,7.28
316,5.02
317,6.52
318,5.39
319,7.13
320,4.8
321,6.41
322,5.22
323,5.11
324,6.14
325,4.96
326,6.21
327,5.41
328,7.07
329,5.51
330,5.96
331,5.07
332,5.4
333,8.37
334,8.15
335,8.03
