,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,pchembl_value,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
0,38792,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL132806,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki,nM,57.0
1,39908,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL336217,7.38,=,nM,42.0,CHEMBL251,Homo sapiens,Ki,nM,42.0
2,41114,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL134566,7.22,=,nM,60.0,CHEMBL251,Homo sapiens,Ki,nM,60.0
3,41122,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL435022,7.42,=,nM,38.0,CHEMBL251,Homo sapiens,Ki,nM,38.0
4,41130,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341376,6.37,=,nM,423.0,CHEMBL251,Homo sapiens,Ki,nM,423.0
5,44701,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL138593,7.35,=,nM,45.0,CHEMBL251,Homo sapiens,Ki,nM,45.0
6,44709,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL324735,6.42,=,nM,381.0,CHEMBL251,Homo sapiens,Ki,nM,381.0
7,54814,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL16867,9.51,=,nM,0.31,CHEMBL251,Homo sapiens,Ki,nM,0.31
8,59775,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL335950,6.10,=,nM,800.0,CHEMBL251,Homo sapiens,Ki,nM,800.0
9,61247,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL541455,7.22,=,nM,60.0,CHEMBL251,Homo sapiens,Ki,nM,60.0
10,67380,CHEMBL649782,Binding affinity for human Adenosine A2A receptor from HEK293 cells,B,CHEMBL16687,8.77,=,nM,1.7,CHEMBL251,Homo sapiens,Ki,uM,0.0017
11,68972,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341777,7.40,=,nM,40.0,CHEMBL251,Homo sapiens,Ki,nM,40.0
12,70348,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL135719,7.26,=,nM,55.0,CHEMBL251,Homo sapiens,Ki,nM,55.0
13,85402,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL61259,6.22,=,nM,600.0,CHEMBL251,Homo sapiens,Ki,uM,0.6
14,90287,CHEMBL641568,Displacement of [3H]-CGS- 21680 from A2A receptor in human brain membrane,B,CHEMBL287321,4.65,=,nM,22500.0,CHEMBL251,Homo sapiens,Ki,nM,22500.0
15,91358,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL464859,7.70,=,nM,20.0,CHEMBL251,Homo sapiens,Ki,uM,0.02
16,100321,CHEMBL640528,[3H]NECA saturation binding in CHO cells expressing human recombinant A2A adenosine receptor,B,CHEMBL3350496,4.33,=,nM,46600.0,CHEMBL251,Homo sapiens,Ki,uM,46.6
17,183859,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113189,6.56,=,nM,277.0,CHEMBL251,Homo sapiens,Ki,nM,277.0
18,183861,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112195,7.46,=,nM,35.0,CHEMBL251,Homo sapiens,Ki,nM,35.0
19,183863,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113541,7.64,=,nM,23.0,CHEMBL251,Homo sapiens,Ki,nM,23.0
20,184804,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL261453,6.79,=,nM,163.0,CHEMBL251,Homo sapiens,Ki,nM,163.0
21,186289,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258535,7.19,=,nM,64.0,CHEMBL251,Homo sapiens,Ki,nM,64.0
22,187518,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL574597,5.07,=,nM,8530.0,CHEMBL251,Homo sapiens,Ki,nM,8530.0
23,187838,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL109845,7.57,=,nM,27.0,CHEMBL251,Homo sapiens,Ki,nM,27.0
24,189881,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2092941,8.15,=,nM,7.0,CHEMBL251,Homo sapiens,Ki,nM,7.0
25,190190,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL110646,7.21,=,nM,61.0,CHEMBL251,Homo sapiens,Ki,nM,61.0
26,190192,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113228,7.85,=,nM,14.0,CHEMBL251,Homo sapiens,Ki,nM,14.0
27,191176,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL437842,6.57,=,nM,267.0,CHEMBL251,Homo sapiens,Ki,nM,267.0
28,192275,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL607759,5.35,=,nM,4450.0,CHEMBL251,Homo sapiens,Ki,nM,4450.0
29,192281,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL2094083,8.51,=,nM,3.1,CHEMBL251,Homo sapiens,Ki,nM,3.1
30,192287,CHEMBL644647,Binding affinity against Human recombinant Adenosine A2A receptor stably transfected in CHO cells using [3H]NECA as radioligand,B,CHEMBL258534,7.41,=,nM,39.0,CHEMBL251,Homo sapiens,Ki,nM,39.0
31,192592,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL432624,7.12,=,nM,76.0,CHEMBL251,Homo sapiens,Ki,nM,76.0
32,193782,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113967,8.70,=,nM,2.0,CHEMBL251,Homo sapiens,Ki,nM,2.0
33,194904,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL113542,7.82,=,nM,15.0,CHEMBL251,Homo sapiens,Ki,nM,15.0
34,194906,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112740,7.30,=,nM,50.0,CHEMBL251,Homo sapiens,Ki,nM,50.0
35,194908,CHEMBL644656,Binding affinity against human Adenosine A2a receptor (hA2a),B,CHEMBL112631,8.52,=,nM,3.0,CHEMBL251,Homo sapiens,Ki,nM,3.0
