,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,pKi,relation,units,Ki,target_chembl_id,target_organism,type
0,38792,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL132806,7.24,=,nM,57.0,CHEMBL251,Homo sapiens,Ki
1,39908,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL336217,7.38,=,nM,42.0,CHEMBL251,Homo sapiens,Ki
2,41114,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL134566,7.22,=,nM,60.0,CHEMBL251,Homo sapiens,Ki
3,41122,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL435022,7.42,=,nM,38.0,CHEMBL251,Homo sapiens,Ki
4,41130,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL341376,6.37,=,nM,423.0,CHEMBL251,Homo sapiens,Ki
5,44701,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL138593,7.35,=,nM,45.0,CHEMBL251,Homo sapiens,Ki
6,44709,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL324735,6.42,=,nM,381.0,CHEMBL251,Homo sapiens,Ki
7,54814,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL16867,9.51,=,nM,0.31,CHEMBL251,Homo sapiens,Ki
8,59775,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL335950,6.1,=,nM,800.0,CHEMBL251,Homo sapiens,Ki
9,61247,CHEMBL643209,Displacement of [3H]ZM-241385 from human adenosine A2A receptors expressed in HEK293 cells,B,CHEMBL541455,7.22,=,nM,60.0,CHEMBL251,Homo sapiens,Ki
