,molecule_chembl_id,Ki,units,pKi,smiles
0,CHEMBL132806,57.0,nM,7.24,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
1,CHEMBL336217,42.0,nM,7.38,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1
2,CHEMBL134566,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
3,CHEMBL435022,38.0,nM,7.42,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1
4,CHEMBL341376,423.0,nM,6.37,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1
5,CHEMBL138593,45.0,nM,7.35,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
6,CHEMBL324735,381.0,nM,6.42,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1
7,CHEMBL16867,0.31,nM,9.51,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
8,CHEMBL335950,800.0,nM,6.1,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12
9,CHEMBL541455,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
10,CHEMBL16687,1.7,nM,8.77,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
11,CHEMBL341777,40.0,nM,7.4,O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
12,CHEMBL135719,55.0,nM,7.26,O=C(Cc1cccc2ccccc12)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
13,CHEMBL61259,600.0,nM,6.22,CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21
14,CHEMBL287321,22500.0,nM,4.65,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12
15,CHEMBL464859,20.0,nM,7.7,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
16,CHEMBL3350496,46600.0,nM,4.33,Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
17,CHEMBL113189,277.0,nM,6.56,CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
18,CHEMBL112195,35.0,nM,7.46,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12
19,CHEMBL113541,23.0,nM,7.64,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
20,CHEMBL261453,163.0,nM,6.79,CNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
21,CHEMBL258535,64.0,nM,7.19,CCNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
22,CHEMBL574597,8530.0,nM,5.07,CNc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
23,CHEMBL109845,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12
24,CHEMBL2092941,7.0,nM,8.15,Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
25,CHEMBL110646,61.0,nM,7.21,COC[C@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
26,CHEMBL113228,14.0,nM,7.85,Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1
27,CHEMBL437842,267.0,nM,6.57,CCCCC#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
28,CHEMBL607759,4450.0,nM,5.35,CCNc1nc(C#Cc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O
29,CHEMBL2094083,3.1,nM,8.51,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC(O)c4ccccc4)nc32)[C@H](O)[C@@H]1O
30,CHEMBL258534,39.0,nM,7.41,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#C[C@H](O)c4ccccc4)nc32)[C@H](O)[C@@H]1O
31,CHEMBL432624,76.0,nM,7.12,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1
32,CHEMBL113967,2.0,nM,8.7,CC1CCCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
33,CHEMBL113542,15.0,nM,7.82,CC1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1
34,CHEMBL112740,50.0,nM,7.3,CN(CCc1ccccc1)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
35,CHEMBL112631,3.0,nM,8.52,CN(C)C(=O)CN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
36,CHEMBL323945,3.0,nM,8.52,CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1
37,CHEMBL2092787,96.0,nM,7.02,CC(C)Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
38,CHEMBL262363,1.8,nM,8.74,Nc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
39,CHEMBL325993,62.0,nM,7.21,CC1CCCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1
40,CHEMBL325646,57.0,nM,7.24,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12
41,CHEMBL2092786,273.0,nM,6.56,CNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
42,CHEMBL325350,9.0,nM,8.05,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccc(Br)o3)nn12
43,CHEMBL109499,11.0,nM,7.96,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccco3)nn12
44,CHEMBL309618,2140.0,nM,5.67,CCOC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1N1CCN(C)CC1
45,CHEMBL410115,1560.0,nM,5.81,CNc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
46,CHEMBL112773,2.0,nM,8.7,COC[C@H]1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
47,CHEMBL2092788,94.0,nM,7.03,CCNc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
48,CHEMBL438418,324.0,nM,6.49,CC(C)Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
49,CHEMBL113376,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccc(Br)o3)nc12
50,CHEMBL110698,6.0,nM,8.22,CCCN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
51,CHEMBL114405,104.0,nM,6.98,Nc1cc(C(=O)N2CCCC2)cc2nc(-c3cccs3)nn12
52,CHEMBL17127,0.6,nM,9.22,Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12
53,CHEMBL408918,29.0,nM,7.54,Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
54,CHEMBL109753,190.0,nM,6.72,Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccco3)nc12
55,CHEMBL410095,1181.0,nM,5.93,CCNc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
56,CHEMBL110074,4.0,nM,8.4,CC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1
