,molecule_chembl_id,Ki,units,pKi,smiles,mols,maccs,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
0,CHEMBL132806,57.0,nM,7.24,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EA75540>,429.1913229760001,0.2608695652173913,9,1,5,9,32,7,103.14,0.41999960655163143,3.9613000000000023,2.785384571180055,0,0,0,1,4,5,0,0,0
1,CHEMBL336217,42.0,nM,7.38,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFE6C0>,479.2069730400001,0.2222222222222222,9,1,6,9,36,7,103.14,0.34110544778956403,5.114500000000004,2.8694173292435217,0,0,0,2,4,6,0,0,0
2,CHEMBL134566,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA750E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFE9D0>,477.1913229760001,0.14814814814814814,9,1,6,9,36,8,103.14,0.3450390378831403,4.548000000000004,2.7025306536760993,0,0,0,2,4,6,0,0,0
3,CHEMBL435022,38.0,nM,7.42,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75070>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEA40>,445.18623759600007,0.2608695652173913,10,1,5,10,33,8,112.37,0.3865147765102877,3.797600000000002,2.792537199244274,0,0,0,1,4,5,0,0,0
4,CHEMBL341376,423.0,nM,6.37,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75230>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEAB0>,373.12872272000004,0.10526315789473684,9,1,5,9,28,4,103.14,0.5189880708800217,2.4522000000000004,2.6811304339684785,0,0,0,1,4,5,0,0,0
5,CHEMBL138593,45.0,nM,7.35,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA76420>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEB20>,493.18623759600007,0.14814814814814814,10,1,6,10,37,9,112.36999999999999,0.317950820325308,4.384300000000003,2.719300580983333,0,0,0,2,4,6,0,0,0
6,CHEMBL324735,381.0,nM,6.42,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75AF0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEB90>,374.123971688,0.05555555555555555,10,2,5,10,28,3,115.17,0.5016596210984153,2.915000000000001,2.698054824212381,0,0,0,1,4,5,0,0,0
7,CHEMBL16867,0.31,nM,9.51,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEC00>,345.1338081,0.1111111111111111,8,2,5,8,26,4,100.06,0.5371761623147397,2.5589000000000004,2.673013705247877,0,0,0,1,4,5,0,0,0
8,CHEMBL541455,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75FC0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEC70>,463.1756729120001,0.11538461538461539,9,1,6,9,35,7,103.14,0.38139010162666165,4.157900000000002,2.6797582935585584,0,0,0,2,4,6,0,0,0
9,CHEMBL16687,1.7,nM,8.77,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75310>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFECE0>,285.04173755600004,0.0,6,2,4,7,20,1,82.24,0.5813090016160568,2.7731000000000012,2.4233110208556283,0,0,0,1,3,4,0,0,0
10,CHEMBL341777,40.0,nM,7.4,O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA759A0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFED50>,479.17058753200007,0.11538461538461539,10,1,6,10,36,8,112.36999999999999,0.3511651729591608,3.994200000000002,2.695641221612835,0,0,0,2,4,6,0,0,0
11,CHEMBL287321,22500.0,nM,4.65,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEDC0>,277.11748934,0.5833333333333334,8,5,4,8,20,2,130.31,0.5354291070261376,-1.3164000000000007,4.220184834384176,2,0,2,0,2,2,2,0,2
12,CHEMBL464859,20.0,nM,7.7,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75B60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEE30>,308.12330299199994,0.5,10,5,3,10,22,3,148.41,0.5168442633030493,-1.8361999999999987,3.6549574867718118,0,1,1,0,2,2,0,1,1
13,CHEMBL113189,277.0,nM,6.56,CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA76490>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEEA0>,377.048736852,0.26666666666666666,7,2,3,8,23,4,89.66,0.7541870666257812,2.8160000000000007,2.7773486672046026,0,0,0,0,3,3,0,0,0
14,CHEMBL112195,35.0,nM,7.46,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA76500>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEF10>,375.033086788,0.26666666666666666,7,2,4,8,23,2,89.66000000000001,0.7426454740938845,2.570000000000001,2.662939772973834,0,1,1,0,3,3,0,1,1
15,CHEMBL113541,23.0,nM,7.64,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA76180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEF80>,420.054550504,0.25,9,2,3,10,26,4,109.97,0.6838498773201619,1.4942000000000002,2.8942024038731944,0,0,0,0,3,3,0,0,0
16,CHEMBL109845,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75BD0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFEFF0>,311.13822478400004,0.3125,7,2,4,7,23,2,89.66000000000001,0.7833031013124828,2.1976000000000004,2.4812871897361752,0,1,1,0,3,3,0,1,1
17,CHEMBL110646,61.0,nM,7.21,COC[C@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA761F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFF060>,419.059301536,0.35294117647058826,8,2,4,9,26,4,98.89,0.6968650985451224,2.585000000000001,3.2993548057052653,0,1,1,0,3,3,0,1,1
18,CHEMBL113228,14.0,nM,7.85,Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA76340>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFF0D0>,325.15387484800004,0.35294117647058826,7,2,4,7,24,2,89.66,0.7816500469517832,2.5060199999999995,2.529614743789349,0,1,1,0,3,3,0,1,1
19,CHEMBL432624,76.0,nM,7.12,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EA75A80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EAFF140>,311.13822478400004,0.3125,7,2,4,7,23,2,89.66,0.7826329500523144,2.11592,2.576885926819987,0,1,1,0,3,3,0,1,1
