,molecule_chembl_id,Ki,units,pKi,smiles,molecular_weight,n_hba,n_hbd,logp,passed
0,CHEMBL132806,57.0,nM,7.24,CC(C)CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,429.1913229760001,9,1,3.9613000000000023,True
1,CHEMBL336217,42.0,nM,7.38,CC(C)CCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1,479.2069730400001,9,1,5.114500000000004,True
2,CHEMBL134566,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,477.1913229760001,9,1,4.548000000000004,True
3,CHEMBL435022,38.0,nM,7.42,CC(C)CCn1cc2c(nc(NC(=O)COc3ccccc3)n3nc(-c4ccco4)nc23)n1,445.18623759600007,10,1,3.797600000000002,True
4,CHEMBL341376,423.0,nM,6.37,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,373.12872272000004,9,1,2.4522000000000004,True
5,CHEMBL138593,45.0,nM,7.35,O=C(COc1ccccc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,493.18623759600007,10,1,4.384300000000003,True
6,CHEMBL324735,381.0,nM,6.42,Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,374.123971688,10,2,2.915000000000001,True
7,CHEMBL16867,0.31,nM,9.51,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,345.1338081,8,2,2.5589000000000004,True
8,CHEMBL541455,60.0,nM,7.22,O=C(Cc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,463.1756729120001,9,1,4.157900000000002,True
9,CHEMBL16687,1.7,nM,8.77,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,285.04173755600004,6,2,2.7731000000000012,True
10,CHEMBL341777,40.0,nM,7.4,O=C(COc1ccccc1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,479.17058753200007,10,1,3.994200000000002,True
11,CHEMBL61259,600.0,nM,6.22,CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,263.117095416,5,2,1.8281999999999996,True
12,CHEMBL287321,22500.0,nM,4.65,Nc1ncnc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,277.11748934,8,5,-1.3164000000000007,True
13,CHEMBL464859,20.0,nM,7.7,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,308.12330299199994,10,5,-1.8361999999999987,True
14,CHEMBL3350496,46600.0,nM,4.33,Nc1ncnc2c1nc(/C=C/C(=O)c1ccccc1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,397.1386187079999,10,5,-0.08390000000000014,True
15,CHEMBL113189,277.0,nM,6.56,CCN(CC)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,377.048736852,7,2,2.8160000000000007,True
16,CHEMBL112195,35.0,nM,7.46,Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccc(Br)o3)nc12,375.033086788,7,2,2.570000000000001,True
17,CHEMBL113541,23.0,nM,7.64,CN(C)C(=O)CN(C)C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,420.054550504,9,2,1.4942000000000002,True
18,CHEMBL261453,163.0,nM,6.79,CNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,411.1542687719999,10,5,-0.4354000000000003,True
19,CHEMBL258535,64.0,nM,7.19,CCNc1nc(C#C[C@@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,425.16991883599997,10,5,-0.045300000000000396,True
20,CHEMBL574597,8530.0,nM,5.07,CNc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,381.14370408799994,9,4,-0.12070000000000031,True
21,CHEMBL109845,27.0,nM,7.57,Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccco3)nn12,311.13822478400004,7,2,2.1976000000000004,True
22,CHEMBL2092941,7.0,nM,8.15,Nc1nc(C#CC(O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,397.1386187079999,10,6,-0.8949000000000005,True
23,CHEMBL110646,61.0,nM,7.21,COC[C@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,419.059301536,8,2,2.585000000000001,True
24,CHEMBL113228,14.0,nM,7.85,Cc1ccc(-c2nc3cc(C(=O)N4CCCCC4)cc(N)n3n2)o1,325.15387484800004,7,2,2.5060199999999995,True
25,CHEMBL437842,267.0,nM,6.57,CCCCC#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,375.19065428,9,4,0.4112999999999996,True
26,CHEMBL607759,4450.0,nM,5.35,CCNc1nc(C#Cc2ccccc2)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O,395.1593541519999,9,4,0.2693999999999999,True
27,CHEMBL432624,76.0,nM,7.12,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1,311.13822478400004,7,2,2.11592,True
28,CHEMBL113967,2.0,nM,8.7,CC1CCCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,403.064386916,7,2,3.348600000000001,True
29,CHEMBL113542,15.0,nM,7.82,CC1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,403.064386916,7,2,3.206100000000001,True
