,pKi,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
0,7.24,0.2608695652173913,9,1,5,9,32,7,103.14,0.4199996065516314,3.961300000000002,2.785384571180055,0,0,0,1,4,5,0,0,0
1,7.38,0.2222222222222222,9,1,6,9,36,7,103.14,0.341105447789564,5.114500000000004,2.8694173292435217,0,0,0,2,4,6,0,0,0
2,7.22,0.1481481481481481,9,1,6,9,36,8,103.14,0.3450390378831403,4.548000000000004,2.7025306536761,0,0,0,2,4,6,0,0,0
3,7.42,0.2608695652173913,10,1,5,10,33,8,112.37,0.3865147765102877,3.797600000000002,2.792537199244274,0,0,0,1,4,5,0,0,0
4,6.37,0.1052631578947368,9,1,5,9,28,4,103.14,0.5189880708800217,2.4522000000000004,2.6811304339684785,0,0,0,1,4,5,0,0,0
5,7.35,0.1481481481481481,10,1,6,10,37,9,112.37,0.317950820325308,4.384300000000003,2.719300580983333,0,0,0,2,4,6,0,0,0
6,6.42,0.0555555555555555,10,2,5,10,28,3,115.17,0.5016596210984153,2.915000000000001,2.698054824212381,0,0,0,1,4,5,0,0,0
7,9.51,0.1111111111111111,8,2,5,8,26,4,100.06,0.5371761623147397,2.5589000000000004,2.673013705247877,0,0,0,1,4,5,0,0,0
8,7.22,0.1153846153846153,9,1,6,9,35,7,103.14,0.3813901016266616,4.157900000000002,2.6797582935585584,0,0,0,2,4,6,0,0,0
9,8.77,0.0,6,2,4,7,20,1,82.24,0.5813090016160568,2.773100000000001,2.4233110208556283,0,0,0,1,3,4,0,0,0
10,7.4,0.1153846153846153,10,1,6,10,36,8,112.37,0.3511651729591608,3.994200000000002,2.695641221612835,0,0,0,2,4,6,0,0,0
11,4.65,0.5833333333333334,8,5,4,8,20,2,130.31,0.5354291070261376,-1.316400000000001,4.220184834384176,2,0,2,0,2,2,2,0,2
12,7.7,0.5,10,5,3,10,22,3,148.41,0.5168442633030493,-1.8361999999999987,3.654957486771812,0,1,1,0,2,2,0,1,1
13,6.56,0.2666666666666666,7,2,3,8,23,4,89.66,0.7541870666257812,2.8160000000000007,2.7773486672046026,0,0,0,0,3,3,0,0,0
14,7.46,0.2666666666666666,7,2,4,8,23,2,89.66000000000001,0.7426454740938845,2.570000000000001,2.662939772973834,0,1,1,0,3,3,0,1,1
